// GK3 knows what is or isn't a valid location in the game.
// Thus far, I haven't found a data-driven mechanism for this. Possibly, it's hard-coded in the game's source code.

// To get around that, this file enumerates that data. It is read/parsed at runtime.
[LOCATIONS]
//loc_code = loc_code_long
off = Abbes_Office
bal = Balconies
b21 = Buchellis_Bathroom
bmb = Buchelli_Hiding_Place
pl3 = Buchelli_Hiding_Place_Parking_Lot
r21 = Buchellis_Room
b29 = Buthanes_Bathroom
r29 = Buthanes_Room
cdb = C_Blanch_Bottom
cd1 = C_De_Blanchfort
cs3 = C_De_Serras_Attic
cs8 = C_De_Serras_Barn
cs5 = C_De_Serras_Basement
cse = C_De_Serras_Courtyard
pl6 = C_De_Serras_EXT
gri = C_De_Serras_Garage
cs2 = C_De_Serras_Library
cs6 = C_De_Serras_Winepress
tr1 = Couiza_EXT
tr2 = Couiza_INT
csd = Coume_Sourde
pl2 = Coume_Sourde_Parking_Lot
du1 = Dumb_Waiter_1
du2 = Dumb_Waiter_2
b27 = Emilios_Bathroom
r27 = Emilios_Room
din = Hotel_Dining_Room
rc1 = Hotel_Exterior
b25 = Hotel_Gabes_Bathroom
r25 = Hotel_Gabes_Room
hal = Hotel_Hall
kit = Hotel_Kitchen
lby = Hotel_Lobby
pho = Hotel_Phone_Room
b31 = Howards_Bathroom
r31 = Howards_Room
lhe = Larrys_House_EXT
lmb = Larrys_Manuscript_Place
lhi = Larrys_Study
ler = LErmitage
pl4 = LErmitage_Parking_Lot
vg1 = LFauteuil_Across_Road
arm = LFauteuil_du_Diable
vgr = LFauteuil_Parking
lhm = LHomme_Mort
pl1 = LHomme_Mort_Parking_Lot
map = Map
mop = Moped_Courtyard
r33 = Moselys_Room
mcf = Mount_Cardou_Site
ms2 = Museum_Lower
ms3 = Museum_Upper
mcb = NE_Arm_Hexagram
plo = Parking_Lot_Blanch_Cardou
pou = Poussins_Tomb
r12 = Rennes_le_Bains_Bar
rl1 = Rennes_le_Bains_EXT
cem = RLC_Cemetary
chu = RLC_Church
rc2 = RCL_Street_2
rc3 = RCL_Street_3
rc4 = RCL_Street_4
roq = Roque_Negre
clo = Supply_Closet
bec = SW_Arm_Hexagram
te3 = Temple_Circle_Chamber
te4 = Temple_Hexagram
t4a = Temple_Hexagram_Prechamber
te6 = Temple_Holy_of_Holies
te1 = Temple_Porch
te2 = Temple_Square
te5 = Temple_Veil_Chamber
xxx = Temporary_Location
ma1 = Tour_Magdala_Bottom
mag = Tour_Magdala_EXT
ma2 = Tour_Magdala_Stairs
ma3 = Tour_Magdala_Top
vr1 = Valley_Roads
bet = Villa_Bethania_INT
b23 = Wilkes_Bathroom
wdb = Wilkes_Dead_Place
r23 = Wilkes_Room
wod = Woods_Site
pl5 = Woods_Site_Parking
