// GK3 knows all possible score events and what points to award in each case.
// Thus far, I haven't found a data-driven mechanism for this. Possibly, it's hard-coded in the game's source code.

// To get around that, this file enumerates that data. It is read/parsed at runtime.
[SCORES]
//score_code = score_points
e_110a_r25_tape = 2
e_110a_r25_hanger = 2

e_110a_din_enter = 4

e_110a_lby_read_register = 2
e_110a_lby_talk_jean_tour = 2
e_110a_lby_talk_jean_two_men = 2
e_110a_lby_talk_emilio_introduce = 2
e_110a_lby_talk_emilio_checkin = 2

e_110a_pho_phone_prince_james = 4

e_110a_rc1_talk_madeline_checkin = 2
e_110a_rc1_talk_madeline_tour = 2
e_110a_rc1_look_at_grail_book = 2

e_110a_ms2_talk_girard_introduce = 2
e_110a_ms2_talk_girard_treasure_2nd_time = 2
e_110a_ms2_talk_girard_grail = 2

e_110a_ms3_hoverhear_howard_estelle = 2
e_110a_ms3_talk_howard_estelle_introduce = 2
e_110a_ms3_talk_howard_estelle_treasure = 2

e_112p_lby_overhear_butane_wilkes = 2

e_112p_din_talk_wilkes_introduce = 2

e_112p_hal_watch_room_change = 2

e_112p_chu_watch_abbe_buchelli = 2
e_112p_chu_talk_abbe_introduce = 2
e_112p_chu_talk_abbe_templars = 2
e_112p_chu_talk_abbe_church_2nd_time = 2
e_112p_chu_talk_abbe_holy_grail = 2
e_112p_chu_talk_abbe_magdalen_2nd_time = 2
e_112p_chu_talk_buchelli_introduce = 2
e_112p_chu_talk_buchelli_checkin = 2
e_112p_chu_talk_buchelli_treasure = 2

e_112p_r33_talk_mosley_case = 2
e_112p_r33_talk_mosley_grace = 2
e_112p_r33_talk_mosley_shattenjager = 2
e_112p_r33_sneak_catch_emilio = 5

e_112p_hal_pickup_emilio_glass = 2

e_102p_mop_talk_rent_bike = 2
e_102p_mop_disguise_gabe = 10

e_102p_ms2_pickup_cap = 2

e_102p_cem_pickup_spray_bottle = 2

e_102p_rc3_masking_tape_cat = 2
e_102p_rc3_spray_bottle_cat = 2
e_102p_rc3_pickup_tape = 2

e_102p_lby_pickup_candy = 2
e_102p_lby_talk_howard_estelle_room_change = 2
e_102p_lby_push_buzzer_r33 = 2
e_102p_lby_pickup_pen = 2

e_102p_hal_candy_table = 2
e_102p_hal_pickup_mosely_steal_passport = 5

e_102p_r33_pickup_gold_coat = 2

e_102p_din_pickup_syrup = 2

e_102p_inventory_pen_draw_moustache = 2
e_102p_inventory_complete_mosley_disguise = 5

e_102p_map_follow_wilkes = 2
e_102p_map_follow_buthane = 2

e_talk_wilkes_introduce = 2
e_talk_wilkes_grail = 2
e_talk_wilkes_treasure = 2
e_talk_wilkes_machine = 2

e_notebook_wilkes_license = 2

e_102p_cd1_zoom_in_madeline = 5

e_102p_tr1_wallet_taxi_driver_2nd_time = 5

e_102p_tr2_talk_marci_train_from_naples = 2
e_102p_tr2_talk_marci_otr_arrivals = 2
e_102p_tr2_think_about_arrivals = 2

e_104p_lhm_talk_mosely_chat_2nd_time = 2

e_notebook_mosely_license = 2
e_notebook_emilio_license = 2

e_104p_cd1_zoom_in_mosely_buthane_collide = 5

e_104p_cem_overhear_abbe_buthane = 5

e_104p_lhe_knock = 2

e_104p_lhi_talk_larry_grail = 2
e_104p_lhi_talk_larry_rlc = 2
e_104p_lhi_talk_larry_templars_1st_time = 2
e_104p_lhi_talk_larry_templars_2nd_time = 2
e_104p_lhi_talk_larry_treasure_2nd_time = 2

e_106p_cem_hide_behind_tomb = 5
e_106p_cem_overhear_abbe_phone = 2
